OrderID,CustomerID,OrderDate,ShippedDate,ShippingCost,ShipCountry,ShipCity,ShippingCompany,DeliveryDays,DeliveryStatus,Domestic
1000.0,C001,2025-05-17,2025-07-30,234.09,Germany,Hamburg,Kiwilytics Goods Shipping LLC.,74,Late,Yes
1001.0,C002,2025-01-26,2025-07-30,320.61,Canada,Montreal,UPS Worldwide,185,Late,No
1002.0,C003,2025-03-08,2025-07-30,165.17,Canada,Vancouver,FedEx Logistics,144,Late,No
1003.0,C004,2025-03-24,2025-07-30,12.55,Germany,Munich,Aramex International,128,Late,Yes
1004.0,C005,2025-04-15,2025-07-30,186.36,Canada,Vancouver,FedEx Logistics,106,Late,No
1005.0,C006,2024-12-24,2025-07-30,74.93,Usa,New York,UPS Worldwide,218,Late,No
1007.0,C008,2024-08-10,2025-07-30,209.94,Germany,Berlin,Aramex International,354,Late,Yes
1008.0,C009,2025-02-06,2025-07-30,234.09,Usa,Houston,DHL Express,174,Late,No
1010.0,C011,2024-12-03,2025-07-30,16.05,Germany,Unspecified,Aramex International,239,Late,Yes
1011.0,C012,2024-10-08,2025-07-30,391.79,Canada,Vancouver,DHL Express,295,Late,No
1013.0,C014,2025-02-04,2025-07-30,128.94,Usa,New York,DHL Express,176,Late,No
1015.0,Unknown,2024-12-14,2025-07-30,141.77,Canada,Toronto,FedEx Logistics,228,Late,No
1016.0,C017,2025-06-04,2025-07-30,81.51,Germany,Munich,Kiwilytics Goods Shipping LLC.,56,Late,Yes
1017.0,C018,2024-11-07,2025-07-30,145.22,Usa,Chicago,DHL Express,265,Late,No
1018.0,C019,2024-12-09,2025-07-30,393.51,Egypt,Giza,UPS Worldwide,233,Late,No
1019.0,C020,2024-11-15,2025-07-30,234.09,Usa,Chicago,DHL Express,257,Late,No
1020.0,C021,2025-07-06,2025-08-29,252.94,Uk,Manchester,UPS Worldwide,54,Late,No
1021.0,C022,2025-03-18,2025-07-30,234.35,Canada,Toronto,Aramex International,134,Late,No
1023.0,C024,2025-07-06,2025-07-30,422.39,Egypt,Giza,Aramex International,24,Late,No
